name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
Enjoy the true Aloha Spirit...,United States,Guest suite,120,Entire home/apt,2,2,5,moderate,43,2,25,1125,4,10.0,2019-03-06,Jon & Noe,1,2019-03-06,158,-155.08524,19.68684
Private Room in Copacabana  -> The Best Price! :),Brazil,Serviced apartment,101,Entire home/apt,1,2,2,strict_14_with_grace_period,92,3,55,60,2,10.0,2019-02-11,Igor,3,2019-02-11,0,-43.17652688267036,-22.961961218731403
Teknik Yapı Concord Rezidance,Turkey,Other,105,Private room,1,1,1,flexible,0,2,0,1125,1,0.0,2019-02-18,Habib,1,2019-02-18,87,29.06419,40.99423
LUXURY HOUSE IN BARRA DA TIJUCA,Brazil,House,5502,Entire home/apt,4,18,16,strict_14_with_grace_period,0,5,250,180,13,0.0,2019-02-11,Alessandra,6,2019-02-11,0,-43.41976199613926,-22.997687616294844
Small sunroom. Sydney Harbour at your doorstep,Australia,Apartment,53,Private room,1,1,2,moderate,42,2,10,7,1,9.0,2019-03-07,Shaun,2,2019-03-07,358,151.25834,-33.87482
Suitable place for ERASMUS students (Mecidiyeköy),Turkey,Apartment,53,Private room,1,1,1,flexible,0,90,0,180,1,0.0,2019-02-18,Beliz,1,2019-02-18,270,29.00289,41.07033
Rattan,Hong Kong,Apartment,196,Private room,1,1,2,strict_14_with_grace_period,2,28,0,1125,1,9.0,2019-03-11,Steve,9,2019-03-11,350,114.16515,22.32895
Cozy studio in Sheung Wan/Central,Hong Kong,Apartment,754,Entire home/apt,0,1,2,strict_14_with_grace_period,3,2,0,1125,1,10.0,2019-03-11,Léa,1,2019-03-11,59,114.14896,22.2838
sıcak yuva,Turkey,House,47,Private room,1,1,1,flexible,0,1,0,1125,1,0.0,2019-02-18,Fuat,1,2019-02-18,0,29.26114,40.97625
Logement parfait pour étudiants proche du metro,Canada,Apartment,25,Entire home/apt,3,3,3,flexible,0,60,0,150,1,0.0,2019-03-11,Alexis,2,2019-03-11,82,-73.6495,45.55217
Makaha Studio w/Mtn & Ocean Views - 1 Mi to Beach!,United States,Condominium,72,Entire home/apt,0,2,3,strict_14_with_grace_period,1,30,0,1125,3,10.0,2019-03-06,Evolve,200,2019-03-06,247,-158.20469,21.48223
Conjugado Ritz,Brazil,Apartment,246,Entire home/apt,1,1,4,moderate,4,3,0,1125,1,7.0,2019-02-11,Gervander,1,2019-02-11,50,-43.18636131559526,-22.970618835546944
Dormitory Room in Single Bed (Mixed),Turkey,Hostel,58,Shared room,1,1,1,moderate,0,1,0,6,1,0.0,2019-02-18,Erenler,10,2019-02-18,365,28.97814,41.01498
Gallery Seaside House at Porto,Portugal,House,114,Entire home/apt,4,6,8,moderate,4,2,0,1125,1,8.0,2019-02-16,Feels Like Home,429,2019-02-16,330,-8.67456,41.15297
Ribeira Trendy Apartment,Portugal,Apartment,120,Entire home/apt,1,1,4,flexible,8,1,5,30,2,10.0,2019-02-16,Marta,24,2019-02-16,112,-8.61373,41.14066
Apartamento no Recreio dos Bandeirantes,Brazil,Apartment,108,Entire home/apt,1,1,4,flexible,19,2,50,90,3,10.0,2019-02-11,Anna Gabrielle,1,2019-02-11,158,-43.49321846774024,-23.02083419067571
Beachfront Getaway,Australia,Apartment,399,Entire home/apt,2,3,5,moderate,16,3,50,1125,4,9.0,2019-03-07,Kate,3,2019-03-07,333,151.2874,-33.78834
Artists home in Paddington: Re-listed!,Australia,House,85,Private room,1,1,2,moderate,134,1,20,1125,1,9.0,2019-03-07,Arnie & Lorraine,4,2019-03-07,346,151.22968,-33.88714
Scandinavian Styled 1BR Flat with Natural Light.,Australia,Guest suite,70,Entire home/apt,0,2,4,moderate,70,1,10,1125,1,9.0,2019-03-07,Sam,1,2019-03-07,54,150.93016,-33.74899
Luxury Waterloo Apartment - Resort Style Living,Australia,Apartment,125,Entire home/apt,2,2,3,strict_14_with_grace_period,1,115,0,120,1,8.0,2019-03-07,Aimee,1,2019-03-07,123,151.20988,-33.90261
Lovely Apartment,United States,Apartment,150,Entire home/apt,1,1,2,moderate,19,5,0,60,1,10.0,2019-03-07,Rosalynn,1,2019-03-07,349,-73.96665,40.67424
看林村河和吐露港海的房間,Hong Kong,Apartment,691,Private room,2,1,1,flexible,0,1,0,1125,1,0.0,2019-03-11,Kitty,1,2019-03-11,0,114.17048,22.45252
Top location + Great Sydney Views 3 Beds Apartment,Australia,Apartment,350,Entire home/apt,2,3,5,moderate,32,2,50,1125,4,10.0,2019-03-07,Sally,2,2019-03-07,85,151.20811,-33.87815
40 mins bus to city.close to big shopping mall.,Australia,Villa,30,Private room,1,2,3,flexible,5,1,10,1125,1,8.0,2019-03-07,Lulu,3,2019-03-07,0,150.99986,-33.73109
Entire place in the heart of French neighborhood,Canada,Apartment,75,Entire home/apt,0,2,3,flexible,6,1,25,14,3,9.0,2019-03-11,Omer Faruk,1,2019-03-11,0,-73.56003,45.52542
Gorgeous designer 1br flat in the heart of SYP,Hong Kong,Apartment,997,Entire home/apt,1,1,3,strict_14_with_grace_period,6,2,300,1125,1,10.0,2019-03-11,Helene,1,2019-03-11,20,114.13941,22.28661
Stunning 1BR Brooklyn Loft,United States,Serviced apartment,149,Entire home/apt,1,1,4,strict_14_with_grace_period,0,30,0,180,1,0.0,2019-03-07,Vida,52,2019-03-07,365,-73.94076,40.72537
Quarto 6pax,Portugal,Bed and breakfast,56,Private room,1,6,6,flexible,0,1,0,1125,1,0.0,2019-02-16,Raquel,6,2019-02-16,287,-8.6018,41.15604
Water-view 5-star living,Australia,Condominium,70,Private room,1,1,2,moderate,0,1,0,1125,1,0.0,2019-03-07,Cathy,1,2019-03-07,0,151.08417,-33.82808
旺角购物天堂/地铁口  家庭三人房 獨立衛浴 免費WlFl,Hong Kong,Condominium,353,Private room,1,2,3,strict_14_with_grace_period,5,1,0,1125,1,8.0,2019-03-11,Kiki,20,2019-03-11,47,114.16902,22.31555
Private bedroom for one person in HoMa,Canada,Apartment,50,Private room,1,1,1,strict_14_with_grace_period,0,32,0,365,1,0.0,2019-03-11,Marie,2,2019-03-11,90,-73.53359,45.55214
Welcome to He'epali Hale - He'epali Hale,United States,House,114,Entire home/apt,3,4,6,strict_14_with_grace_period,0,3,31,60,2,0.0,2019-03-06,Jeana,14,2019-03-06,247,-154.91657,19.53606
1400 square foot Kona Retreat,United States,Guest suite,90,Entire home/apt,2,3,4,flexible,19,1,0,1125,1,10.0,2019-03-06,Abby,1,2019-03-06,137,-155.97716,19.69976
Lapa: coração do Rio de Janeiro,Brazil,Apartment,119,Entire home/apt,1,1,2,flexible,12,1,0,1125,1,10.0,2019-02-11,Marcio,2,2019-02-11,255,-43.1862050026487,-22.915795156390473
Luxury Sydney Escape,Australia,Apartment,100,Entire home/apt,0,1,2,strict_14_with_grace_period,1,3,0,10,1,8.0,2019-03-07,Laura,1,2019-03-07,0,151.19807,-33.88777
PRETTY ROOM IN BARCELONA-A/C-NEAR PLAZA ESPAÑA,Spain,Apartment,35,Private room,1,1,2,moderate,53,2,0,1000,1,9.0,2019-03-08,Daniel,2,2019-03-08,236,2.15374,41.37718
"THE BEST Home ** PARKINGS **5beds,12guests,3bdroom",Canada,Apartment,85,Entire home/apt,3,5,12,strict_14_with_grace_period,96,1,18,1125,6,10.0,2019-03-11,Jade,2,2019-03-11,163,-73.60455,45.53551
ORM - Mártires Apartment,Portugal,Apartment,40,Entire home/apt,1,1,2,strict_14_with_grace_period,37,2,0,1125,1,10.0,2019-02-16,Oporto Rental Management,35,2019-02-16,322,-8.6134,41.15167
Waikiki Marina,United States,Condominium,90,Entire home/apt,0,1,2,moderate,52,2,25,180,2,10.0,2019-03-06,Paul,2,2019-03-06,17,-157.83802,21.2874
Dream garden studio flat at Rumelihisarı,Turkey,Guest suite,121,Entire home/apt,1,1,2,flexible,0,100,100,360,1,0.0,2019-02-18,Aytul,2,2019-02-18,365,29.0531,41.08793
(C)Private double Bedroom next to metro. Free WiFi,Spain,Apartment,15,Private room,1,2,2,strict_14_with_grace_period,13,2,0,1125,1,8.0,2019-03-08,Maria Josi,2,2019-03-08,19,2.20417,41.43574
kurtköy,Turkey,Apartment,42,Private room,0,1,2,flexible,0,1,0,1125,1,0.0,2019-02-18,Ebubekir,1,2019-02-18,89,29.28268,40.91084
"IPANEMA, Rio de Janeiro, Brasil",Brazil,House,3730,Entire home/apt,4,7,8,strict_14_with_grace_period,7,1,0,1125,1,8.0,2019-02-11,Alexandre,2,2019-02-11,360,-43.20674159191011,-22.983189279302522
Bombarda 205 Apartment - Art Galleries District,Portugal,Apartment,78,Entire home/apt,1,1,4,flexible,11,3,0,20,1,8.0,2019-02-16,Ana,5,2019-02-16,128,-8.6189,41.14921
Well connected central modernist apartment,Spain,Apartment,80,Private room,1,2,2,strict_14_with_grace_period,2,1,40,16,1,10.0,2019-03-08,Anna,1,2019-03-08,0,2.15819,41.38308
❤️ 6-BR APARTMENT w Kitchen + 2 Rooms!,Turkey,Serviced apartment,2974,Entire home/apt,8,8,16,moderate,1,1,89,1125,15,10.0,2019-02-18,Cevdet,30,2019-02-18,348,28.95031,41.05489
South West Luxury 2 Bedrooms Close to Downtown,Canada,Apartment,150,Entire home/apt,2,4,7,moderate,47,1,30,1125,4,10.0,2019-03-11,Frederick,28,2019-03-11,304,-73.58023,45.48032
Nice little and cozy room!,Canada,Apartment,25,Private room,1,1,2,flexible,4,1,0,1125,1,8.0,2019-03-11,Véronique,1,2019-03-11,0,-73.56303,45.52969
Viva Deluxe Hotel,Turkey,Hotel,269,Private room,1,1,1,flexible,0,1,0,32,1,0.0,2019-02-18,Şevket,3,2019-02-18,90,28.97747,41.01204
BARCELONA FIRA FAMILY,Spain,Apartment,83,Entire home/apt,4,4,5,strict_14_with_grace_period,10,1,50,1125,4,10.0,2019-03-08,Priority Villas,70,2019-03-08,17,2.15611,41.37384
旺角 粉红粉红的一天《Romance of day 》连大露台,Hong Kong,Apartment,903,Entire home/apt,2,2,5,strict_14_with_grace_period,10,1,150,1125,4,10.0,2019-03-11,宅一起,18,2019-03-11,351,114.17526,22.31888
Minutes to Sunset Beach- Clean and Spacious,United States,Apartment,151,Entire home/apt,2,2,4,strict_14_with_grace_period,45,2,0,1125,1,10.0,2019-03-06,Abdul,1,2019-03-06,279,-158.037,21.67985
雙人大床(有窗)24小时前台､安全可靠､獨立衛浴(有窗)NO.5,Hong Kong,Guesthouse,298,Private room,1,1,2,strict_14_with_grace_period,3,1,50,14,2,7.0,2019-03-11,Zoe,4,2019-03-11,0,114.17232,22.31731
Private Terrace. Convenient. 2 BR Apt. WanChai MTR,Hong Kong,Apartment,848,Entire home/apt,2,3,5,flexible,51,2,0,1125,1,9.0,2019-03-11,J,7,2019-03-11,48,114.17232,22.27899
Super Cute Chelsea One Bedroom,United States,Apartment,150,Entire home/apt,1,1,2,moderate,45,1,50,1125,2,9.0,2019-03-07,Amy,1,2019-03-07,1,-73.99723,40.74935
Strathfield Private Hotel,Australia,Boutique hotel,100,Private room,0,1,2,flexible,1,2,0,30,1,2.0,2019-03-07,Stephanie,1,2019-03-07,89,151.09333,-33.87208
Stylish Open Space Apartment,Portugal,Apartment,50,Entire home/apt,1,3,4,flexible,35,2,10,30,2,9.0,2019-02-16,Miguel & João,17,2019-02-16,330,-8.60464,41.15962
★ Mar/Apr Discount ★ Beachfront/Remodeled 2017/18.,United States,House,632,Entire home/apt,3,4,8,strict_14_with_grace_period,33,5,29,365,6,10.0,2019-03-06,Shawn,8,2019-03-06,176,-157.90846,21.60677
"Rio Rentals 021 - C001 Super reformed studio in Copacabana, hyper comfortable for up to 4 people.",Brazil,Apartment,216,Entire home/apt,1,1,4,super_strict_30,0,2,0,1125,4,0.0,2019-02-11,Andre,17,2019-02-11,87,-43.17539500582481,-22.964594415650225
"Ar puro, iluminação e conforto em 40 m2.",Brazil,Apartment,138,Entire home/apt,2,3,4,flexible,0,3,0,30,1,0.0,2019-02-11,Irene,2,2019-02-11,225,-43.18504057858179,-22.950313507664287
Wonderful Seafront 4 Bedroom Apart in Copacabana,Brazil,Apartment,1802,Entire home/apt,4,5,8,strict_14_with_grace_period,1,4,250,1125,7,0.0,2019-02-11,Luiza,2,2019-02-11,357,-43.190186599650126,-22.983047230789303
UD Rambla Suites  Pool 27 (2 BR),Spain,Condominium,175,Entire home/apt,2,2,6,strict_14_with_grace_period,3,1,26,1125,2,10.0,2019-03-08,Lorenzo,32,2019-03-08,204,2.20727,41.39763
Sydney City Elegance & Pool.,Australia,Apartment,148,Entire home/apt,1,0,2,moderate,41,2,0,1125,1,9.0,2019-03-07,Johannes,33,2019-03-07,95,151.21034,-33.86657
Conforto e tranquilidade no coração do Flamengo,Brazil,Apartment,500,Private room,2,2,1,moderate,2,2,0,7,1,10.0,2019-02-11,Rodrigo,1,2019-02-11,0,-43.17680548663649,-22.936782297663534
Charming Apartment with Little Loft in the Garden,Portugal,Apartment,90,Entire home/apt,2,3,5,moderate,50,3,10,30,2,10.0,2019-02-16,Miguel & João,17,2019-02-16,237,-8.60262,41.14956
"Maui, Kaanapali, Whaler, Ocean/Mountain View",United States,Serviced apartment,220,Entire home/apt,1,3,5,flexible,4,1,0,14,1,10.0,2019-03-06,Curt,4,2019-03-06,0,-156.69431,20.92259
3 bedroom apartment at Leme.,Brazil,Apartment,175,Entire home/apt,3,3,6,strict_14_with_grace_period,91,1,0,90,1,10.0,2019-02-11,Rodrigo,2,2019-02-11,280,-43.172452734781075,-22.964267560708254
Luxurious 1BR for Business & Leisure + Indoor Pool,Canada,Serviced apartment,85,Entire home/apt,1,1,2,moderate,1,30,0,1125,1,10.0,2019-03-11,Alejandro,256,2019-03-11,0,-73.57111,45.50664
Cozy Stay | Modern and Central Apartment D,Portugal,Apartment,46,Entire home/apt,1,2,4,moderate,25,2,5,90,2,9.0,2019-02-16,Dudi,1,2019-02-16,0,-8.60309,41.14636
Family friendly vacation home near sandy beaches,United States,House,460,Entire home/apt,3,6,10,flexible,8,2,12,30,5,10.0,2019-03-06,Reny,6,2019-03-06,169,-157.7238,21.29196
Spacious Studio on West 72nd,United States,Apartment,200,Entire home/apt,0,0,1,flexible,43,2,0,1125,1,10.0,2019-03-07,Alina,1,2019-03-07,362,-73.98347,40.7803
Sunny Private Room with balcony in LA RAMBLA- WIFI,Spain,Apartment,28,Private room,1,1,2,strict_14_with_grace_period,70,1,0,1125,1,9.0,2019-03-08,Julio,2,2019-03-08,36,2.17513,41.37837
Cozy Rustic Apartment in the heart of the Mile End,Canada,Apartment,95,Entire home/apt,2,3,6,flexible,3,2,0,14,1,10.0,2019-03-11,Lumi,1,2019-03-11,0,-73.59724,45.52273
Casa do Rio - Porto,Portugal,Apartment,80,Entire home/apt,3,4,7,strict_14_with_grace_period,38,2,25,1125,2,10.0,2019-02-16,Rui,1,2019-02-16,263,-8.60762,41.1393
Apartamento Copacabana Rio de Janeiro,Brazil,Apartment,4498,Entire home/apt,2,1,4,flexible,0,1,0,1125,1,0.0,2019-02-11,Caio Lanes,1,2019-02-11,365,-43.19213713094674,-22.971424097325322
BREATH-TAKING APARTMENT IN LEBLON,Brazil,Apartment,701,Entire home/apt,2,4,6,strict_14_with_grace_period,27,1,0,1125,1,9.0,2019-02-11,Marcia,10,2019-02-11,260,-43.223068052476755,-22.984144201400966
Cosy Cottage blue,Australia,Cottage,41,Private room,1,2,2,flexible,39,1,0,1125,1,10.0,2019-03-07,Donna,2,2019-03-07,352,151.06331,-34.03079
Kitnet entre a zona sul e o centro.,Brazil,Loft,149,Entire home/apt,0,1,2,flexible,0,5,50,30,1,0.0,2019-02-11,Lázaro,1,2019-02-11,0,-43.17758290670382,-22.918236838685864
*THE NEW YORKER * Downtown-Centre Ville,Canada,Apartment,76,Entire home/apt,1,2,5,flexible,27,1,10,1125,2,9.0,2019-03-11,Carolina,2,2019-03-11,100,-73.5796,45.49285
Luxury Beach side Accommodation with pool,Australia,House,200,Private room,2,2,3,flexible,13,3,10,1125,1,9.0,2019-03-07,Richard,1,2019-03-07,317,151.30023,-33.7639
旺角太子的私家空中花園,Hong Kong,Apartment,1680,Entire home/apt,2,2,4,flexible,1,1,0,1125,1,0.0,2019-03-11,蘭芳姐,2,2019-03-11,0,114.1692,22.32758
1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,Spain,Apartment,55,Entire home/apt,2,2,4,moderate,2,2,0,330,4,8.0,2019-03-08,Eva&Jacques,203,2019-03-08,211,2.17461,41.42355
Awesome apartment & amazing terrace! HUTB-012684,Spain,Apartment,180,Entire home/apt,4,6,6,strict_14_with_grace_period,7,3,16,1124,4,9.0,2019-03-08,Xavi,21,2019-03-08,103,2.13539,41.38778
尖沙咀 寧靜方便優雅 Private studio inTST (1min to TST mtr),Hong Kong,Apartment,573,Entire home/apt,0,1,2,strict_14_with_grace_period,25,3,0,1125,1,9.0,2019-03-11,Moonie,4,2019-03-11,153,114.17119,22.29736
