name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
Charming Flat in Downtown Moda,Turkey,House,527,Entire home/apt,2,6,6,flexible,1,2,211,1125,1,10.0,2019-02-18,Zeynep,2,2019-02-18,362,29.03133,40.98585
Modern Spacious 1 Bedroom Loft,Canada,Apartment,50,Entire home/apt,1,2,4,flexible,0,1,31,1125,1,0.0,2019-03-11,Konstantin,1,2019-03-11,0,-73.59111,45.51889
Catete's Colonial Big Hause Room B,Brazil,House,250,Private room,1,8,8,strict_14_with_grace_period,1,2,40,1125,4,6.0,2019-02-11,Beatriz,5,2019-02-11,296,-43.18015675229857,-22.92638234778768
Ribeira Charming Duplex,Portugal,House,80,Entire home/apt,3,5,8,moderate,51,2,15,30,6,9.0,2019-02-16,Ana&Gonçalo,3,2019-02-16,239,-8.61308,41.1413
Apt Linda Vista Lagoa - Rio,Brazil,Apartment,701,Private room,1,1,2,flexible,0,1,0,1125,1,0.0,2019-02-11,Livia,1,2019-02-11,363,-43.205047082633435,-22.971950988341874
Ótimo Apto proximo Parque Olimpico,Brazil,Apartment,858,Entire home/apt,2,2,5,strict_14_with_grace_period,0,15,75,20,1,0.0,2019-02-11,Jonathan,1,2019-02-11,0,-43.4311123147628,-23.00035792660916
Be Happy in Porto,Portugal,Loft,30,Entire home/apt,1,1,2,moderate,178,2,0,1125,1,10.0,2019-02-16,Fábio,3,2019-02-16,335,-8.61123,41.15225
New York City - Upper West Side Apt,United States,Apartment,135,Private room,1,1,2,strict_14_with_grace_period,70,12,0,360,1,9.0,2019-03-07,Greta,3,2019-03-07,93,-73.96523,40.79962
Horto flat with small garden,Brazil,Apartment,317,Entire home/apt,1,2,4,flexible,0,2,0,1125,1,0.0,2019-02-11,Ynaie,1,2019-02-11,0,-43.23074991429229,-22.966253551739655
Ligne verte - à 15 min de métro du centre ville.,Canada,Apartment,43,Entire home/apt,0,1,2,moderate,0,2,12,1125,1,0.0,2019-03-11,Caro,1,2019-03-11,32,-73.54949,45.54548
Ocean View Waikiki Marina w/prkg,United States,Condominium,115,Entire home/apt,1,1,2,strict_14_with_grace_period,96,3,0,365,1,8.0,2019-03-06,David,18,2019-03-06,343,-157.83919,21.28634
Private Room in Bushwick,United States,Apartment,40,Private room,1,1,1,flexible,1,14,0,1125,1,10.0,2019-03-06,Josh,1,2019-03-06,0,-73.93615,40.69791
Deluxe Loft Suite,United States,Apartment,205,Entire home/apt,0,2,4,strict_14_with_grace_period,5,3,0,1125,1,10.0,2019-03-07,Mae,13,2019-03-07,243,-73.94472,40.72778
"Soho Cozy, Spacious and Convenient",Hong Kong,Apartment,699,Entire home/apt,1,2,3,flexible,3,4,0,20,1,10.0,2019-03-11,Giovanni,1,2019-03-11,0,114.15027,22.28158
Copacabana Apartment Posto 6,Brazil,Apartment,119,Entire home/apt,1,3,4,strict_14_with_grace_period,70,3,40,75,3,10.0,2019-02-11,Ana Valéria,2,2019-02-11,118,-43.190849194463404,-22.984339360067814
Double Room en-suite (307),Hong Kong,Apartment,361,Private room,1,1,2,strict_14_with_grace_period,0,1,130,1125,2,0.0,2019-03-11,Ken,6,2019-03-11,365,114.17158,22.30469
3 chambres au coeur du Plateau,Canada,Apartment,140,Entire home/apt,3,3,6,flexible,0,1,0,1125,1,0.0,2019-03-11,Margaux,2,2019-03-11,0,-73.57383,45.52233
Nice room in Barcelona Center,Spain,Apartment,50,Private room,1,2,2,flexible,0,1,0,9,1,0.0,2019-03-08,Anna,1,2019-03-08,0,2.16942,41.40082
Apartamento zona sul do RJ,Brazil,Apartment,933,Entire home/apt,3,3,5,flexible,0,1,0,1125,1,0.0,2019-02-11,Luiz Rodrigo,1,2019-02-11,365,-43.1825954762751,-22.930541460367934
THE Place to See Sydney's FIREWORKS,Australia,House,250,Entire home/apt,1,1,2,moderate,0,2,0,1125,1,0.0,2019-03-07,Kristin,1,2019-03-07,0,151.17956,-33.86296
2 bedroom Upper east side,United States,Apartment,275,Entire home/apt,2,2,5,strict_14_with_grace_period,9,2,0,7,1,8.0,2019-03-06,Chelsea,2,2019-03-06,0,-73.95854,40.7664
Double and triple rooms Blue mosque,Turkey,Bed and breakfast,121,Private room,1,2,3,moderate,29,1,0,1125,1,9.0,2019-02-18,Mehmet Emin,2,2019-02-18,365,28.98009,41.0062
City center private room with bed,Hong Kong,Guesthouse,181,Private room,1,1,1,strict_14_with_grace_period,81,1,100,500,1,8.0,2019-03-11,Yi,2,2019-03-11,220,114.1669,22.3314
Cozy house at Beyoğlu,Turkey,Apartment,58,Private room,1,1,2,flexible,27,2,60,1125,1,9.0,2019-02-18,Ali,8,2019-02-18,37,28.95825,41.03777
Easy 1 Bedroom in Chelsea,United States,Apartment,145,Entire home/apt,1,1,2,flexible,1,2,0,1125,1,10.0,2019-03-06,Scott,1,2019-03-06,0,-74.00074,40.74577
Sydney Hyde Park City Apartment (checkin from 6am),Australia,Apartment,185,Entire home/apt,1,1,2,moderate,109,2,0,30,1,10.0,2019-03-07,Desireé,1,2019-03-07,265,151.21346,-33.87603
Downtown Oporto Inn (room cleaning),Portugal,Hostel,40,Private room,1,1,2,moderate,0,1,25,1125,2,0.0,2019-02-16,Elisabete,2,2019-02-16,359,-8.60867,41.1543
A bedroom far away from home,United States,Apartment,45,Private room,1,1,2,strict_14_with_grace_period,239,1,10,10,1,10.0,2019-03-07,Lane,1,2019-03-07,34,-73.82257,40.71485
Surry Hills Studio - Your Perfect Base in Sydney,Australia,Apartment,181,Entire home/apt,0,1,2,strict_14_with_grace_period,64,10,0,21,1,9.0,2019-03-07,Ben,1,2019-03-07,0,151.21554,-33.88029
GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Turkey,Serviced apartment,997,Entire home/apt,2,5,6,moderate,0,1,0,1125,1,0.0,2019-02-18,Ahmet,16,2019-02-18,365,28.98818,41.04772
GOLF ROYAL RESİDENCE TAXİM(1+1):3,Turkey,Serviced apartment,838,Entire home/apt,2,4,4,strict_14_with_grace_period,3,1,0,1125,1,7.0,2019-02-18,Ahmet,16,2019-02-18,365,28.98713,41.04841
Room Close to LGA and 35 mins to Times Square,United States,Apartment,46,Private room,1,1,2,strict_14_with_grace_period,123,2,10,1125,1,10.0,2019-03-07,Cheer,1,2019-03-07,365,-73.88025,40.74953
A Casa Alegre é um apartamento T1.,Portugal,Apartment,40,Entire home/apt,1,1,2,moderate,12,7,0,180,2,10.0,2019-02-16,Manuela,1,2019-02-16,46,-8.75383,41.3596
The LES Apartment,United States,Apartment,150,Entire home/apt,1,1,3,flexible,0,3,0,1125,1,0.0,2019-03-06,Mert,1,2019-03-06,0,-73.98944,40.72063
Twin Bed room+MTR Mongkok shopping&My,Hong Kong,Apartment,400,Private room,1,2,3,strict_14_with_grace_period,22,1,0,500,1,9.0,2019-03-11,Danny,29,2019-03-11,145,114.17073,22.31723
Private Room (2)  in Guest House at Coogee Beach,Australia,House,64,Private room,1,2,2,strict_14_with_grace_period,8,3,0,365,1,10.0,2019-03-07,David,6,2019-03-07,20,151.25541,-33.92398
"Cozy Nest, heart of the Plateau",Canada,Apartment,34,Private room,1,1,1,strict_14_with_grace_period,62,2,10,120,1,9.0,2019-03-11,Lilou,1,2019-03-11,0,-73.58774,45.52028
Cozy double bed room 東涌鄉村雅緻雙人房,Hong Kong,Guesthouse,487,Private room,1,1,2,moderate,162,1,0,1125,1,10.0,2019-03-11,Ricky,5,2019-03-11,339,113.92823,22.27671
"Friendly Apartment, 10m from Manly",Australia,Apartment,36,Private room,1,1,2,flexible,4,1,20,1125,2,10.0,2019-03-07,Isaac,1,2019-03-07,0,151.26969,-33.79629
Roof double bed private room,Turkey,Loft,185,Private room,1,2,2,flexible,0,1,0,1125,1,0.0,2019-02-18,Mustafa,1,2019-02-18,365,29.03693,41.12452
Large railroad style 3 bedroom apt in Manhattan!,United States,Apartment,180,Entire home/apt,3,4,9,strict_14_with_grace_period,22,3,19,6,4,9.0,2019-03-06,Vick,1,2019-03-06,0,-73.93943,40.79805
"Big, Bright & Convenient Sheung Wan",Hong Kong,Apartment,966,Entire home/apt,0,1,2,moderate,1,2,0,1125,1,10.0,2019-03-11,Regg,1,2019-03-11,0,114.15007,22.28422
Great studio opp. Narrabeen Lake,Australia,Apartment,117,Entire home/apt,0,1,2,moderate,61,1,20,1125,1,10.0,2019-03-07,Tracy,1,2019-03-07,26,151.29792,-33.71472
"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",United States,Condominium,499,Entire home/apt,1,2,4,strict_14_with_grace_period,1,1,0,1125,1,10.0,2019-03-06,Holly,472,2019-03-06,365,-156.68012,20.96996
Apto semi mobiliado,Brazil,Apartment,380,Entire home/apt,2,2,2,flexible,0,1,0,1125,1,0.0,2019-02-11,Ricardo,1,2019-02-11,365,-43.24277868091869,-22.915009354482486
Cozy aptartment in Recreio (near Olympic Venues),Brazil,Apartment,746,Entire home/apt,3,3,6,flexible,0,2,187,30,4,0.0,2019-02-11,José Augusto,1,2019-02-11,0,-43.45296045334386,-23.008710784460312
Resort-like living in Williamsburg,United States,Apartment,220,Entire home/apt,2,2,4,strict_14_with_grace_period,1,5,0,1125,1,8.0,2019-03-06,Mohammed,1,2019-03-06,0,-73.93869,40.71552
Your spot in Copacabana,Brazil,Apartment,798,Entire home/apt,2,5,6,strict_14_with_grace_period,8,2,20,15,4,9.0,2019-02-11,Ana Lúcia,1,2019-02-11,247,-43.17714541632985,-22.96270793328072
Cozy Queen Guest Room&My,Hong Kong,Apartment,330,Private room,1,1,2,strict_14_with_grace_period,9,1,0,500,1,7.0,2019-03-11,Danny,29,2019-03-11,135,114.17034,22.31655
Uygun nezih daire,Turkey,Apartment,264,Entire home/apt,1,2,4,flexible,0,1,53,1125,1,0.0,2019-02-18,Yaşar,1,2019-02-18,365,28.89964,40.99667
Quarto inteiro na Tijuca,Brazil,Apartment,149,Private room,1,1,1,flexible,1,1,0,15,1,10.0,2019-02-11,Gilberto,2,2019-02-11,178,-43.247421907135774,-22.936203246553816
"Kailua-Kona, Kona Coast II 2b condo",United States,Apartment,135,Entire home/apt,2,3,6,strict_14_with_grace_period,1,7,0,7,1,8.0,2019-03-06,Daniel,1,2019-03-06,196,-155.96445,19.5702
Ipanema: moderno apê 2BR + garagem,Brazil,Apartment,298,Entire home/apt,2,2,4,strict_14_with_grace_period,24,4,50,1125,2,10.0,2019-02-11,Barbara,13,2019-02-11,174,-43.1998455458952,-22.980051683700506
FloresRooms 3T,Portugal,Apartment,31,Entire home/apt,0,1,2,moderate,225,2,0,1124,1,10.0,2019-02-16,Andreia,6,2019-02-16,278,-8.61205,41.14404
Makaha Valley Paradise with OceanView,United States,Condominium,95,Entire home/apt,1,2,4,moderate,32,3,0,180,1,10.0,2019-03-06,Ray And Lise,2,2019-03-06,246,-158.20291,21.4818
"Amazing and Big Apt, Ipanema Beach.",Brazil,Apartment,1999,Entire home/apt,3,4,6,flexible,0,1,0,1125,1,0.0,2019-02-11,Pedro,1,2019-02-11,0,-43.20465630892734,-22.983108745795256
UWS Brownstone Near Central Park,United States,Apartment,212,Entire home/apt,1,3,3,moderate,45,21,0,30,1,9.0,2019-03-06,Chas,4,2019-03-06,5,-73.9696,40.78558
~Ao Lele~ Flying Cloud,United States,Treehouse,185,Entire home/apt,1,1,2,strict_14_with_grace_period,103,2,0,30,2,10.0,2019-03-06,Mike,1,2019-03-06,165,-155.21763,19.42151
IPANEMA LUXURY PENTHOUSE with MAID,Brazil,Apartment,858,Entire home/apt,1,1,3,strict_14_with_grace_period,29,1,112,1125,3,10.0,2019-02-11,Cesar,3,2019-02-11,345,-43.20056249420509,-22.98034625363379
Cozy Art Top Floor Apt in PRIME Williamsburg!,United States,Apartment,175,Entire home/apt,1,2,2,strict_14_with_grace_period,117,2,300,300,2,10.0,2019-03-07,Ade,1,2019-03-07,363,-73.96053,40.71577
Alugo Apart frente mar Barra Tijuca,Brazil,Apartment,933,Entire home/apt,1,2,4,flexible,0,10,0,90,1,0.0,2019-02-11,Paulo Cesar,1,2019-02-11,363,-43.36831676949888,-23.011117008024065
Small Room w Bathroom Flamengo Rio de Janeiro,Brazil,Apartment,71,Private room,1,1,1,moderate,1,4,0,1125,1,8.0,2019-02-11,Fernanda,2,2019-02-11,0,-43.17645081249057,-22.93848268819496
Private OceanFront - Bathtub Beach. Spacious House,United States,House,795,Entire home/apt,4,10,14,strict_14_with_grace_period,32,3,0,1125,1,9.0,2019-03-06,Noah,1,2019-03-06,229,-157.91952,21.63549
Suíte em local tranquilo e seguro,Brazil,House,101,Private room,1,1,1,moderate,0,1,50,1125,1,0.0,2019-02-11,Renato,7,2019-02-11,357,-43.33496705036137,-22.948365490450556
Pousada das Colonias,Brazil,Bed and breakfast,138,Private room,1,1,2,strict_14_with_grace_period,9,1,70,1125,2,10.0,2019-02-11,Lidia Maria,4,2019-02-11,347,-43.3089745798612,-23.004633399469007
Apartamento Mobiliado - Lgo do Machado,Brazil,Apartment,149,Entire home/apt,1,2,4,strict_14_with_grace_period,0,30,40,365,2,0.0,2019-02-11,Marcelo,7,2019-02-11,316,-43.178886292069244,-22.931715899178695
Best location 1BR Apt in HK - Shops & Sights,Hong Kong,Apartment,997,Entire home/apt,1,2,4,strict_14_with_grace_period,145,1,160,60,2,10.0,2019-03-11,Simon,17,2019-03-11,170,114.17088,22.29663
Quarto Taquara - Jacarepaguá,Brazil,Apartment,101,Private room,1,1,2,strict_14_with_grace_period,1,2,20,1125,1,10.0,2019-02-11,Luana,2,2019-02-11,365,-43.37035220190699,-22.91636184358952
Room For Erasmus,Turkey,Apartment,37,Private room,2,2,2,flexible,1,1,0,1125,1,0.0,2019-02-18,Kemal,1,2019-02-18,365,29.06064,40.98837
,Turkey,Apartment,105,Private room,1,2,4,flexible,0,1,0,1125,1,0.0,2019-02-18,Seda,1,2019-02-18,0,29.05108,41.08835
A large sunny bedroom,United States,Apartment,35,Private room,1,1,1,moderate,2,3,0,1125,1,10.0,2019-03-06,Ehssan,1,2019-03-06,0,-73.90052,40.85598
luxury apartment in istanbul taxsim,Turkey,Apartment,269,Entire home/apt,1,3,4,strict_14_with_grace_period,135,2,42,1125,3,9.0,2019-02-18,Osman,10,2019-02-18,317,28.98538,41.03326
Banyan Bungalow,United States,Bungalow,100,Entire home/apt,0,1,2,flexible,99,2,20,300,1,9.0,2019-03-06,Bobby,1,2019-03-06,321,-158.1602,21.57561
BBC OPORTO 4X2,Portugal,Apartment,100,Entire home/apt,4,8,8,flexible,71,3,0,1125,1,9.0,2019-02-16,Cristina,3,2019-02-16,264,-8.60069,41.16246
(1) Beach Guest House - Go Make A Trip,Brazil,Bed and breakfast,112,Private room,1,1,2,flexible,11,1,0,1125,2,10.0,2019-02-11,Rafael,8,2019-02-11,309,-43.353970672578306,-23.008991691724663
March 2019 availability! Oceanview on Sugar Beach!,United States,Condominium,229,Entire home/apt,1,3,4,strict_14_with_grace_period,19,4,0,1125,1,9.0,2019-03-06,Gage,1,2019-03-06,228,-156.46881,20.78621
"Studio convenient to CBD, beaches, street parking.",Australia,Guest suite,45,Entire home/apt,1,4,5,moderate,104,2,25,3,2,9.0,2019-03-07,Leslie,1,2019-03-07,0,151.26108,-33.7975
Homely Room in 5-Star New Condo@MTR,Hong Kong,Condominium,479,Private room,1,1,2,strict_14_with_grace_period,179,28,150,1125,1,9.0,2019-03-11,Crystal,5,2019-03-11,3,114.17094,22.32074
Aluguel Temporada Casa São Conrado,Brazil,House,2499,Entire home/apt,4,8,11,flexible,0,5,0,1125,1,0.0,2019-02-11,Maria Pia,1,2019-02-11,365,-43.27502007153333,-22.99391888061395
Sala e quarto em copacabana com cozinha americana,Brazil,Apartment,298,Entire home/apt,1,1,3,flexible,0,4,0,1125,1,0.0,2019-02-11,Tamara,1,2019-02-11,0,-43.177948896979196,-22.963149303022142
The Garden Studio,Australia,Guesthouse,129,Entire home/apt,1,1,2,strict_14_with_grace_period,146,2,0,40,1,10.0,2019-03-07,Cath,1,2019-03-07,365,151.15036,-33.90318
Bondi Beach Dreaming 3-Bed House,Australia,House,399,Entire home/apt,3,6,8,strict_14_with_grace_period,139,2,35,1125,6,10.0,2019-03-07,Cat,5,2019-03-07,0,151.27448,-33.8872
Beautiful flat with services,Brazil,Apartment,351,Entire home/apt,2,2,4,strict_14_with_grace_period,32,3,500,1125,4,9.0,2019-02-11,Liliane,2,2019-02-11,316,-43.20577175003696,-22.982557305257775
Greenwich Fun and Luxury,Australia,House,999,Entire home/apt,4,4,6,flexible,0,5,0,1125,1,0.0,2019-03-07,Craig,1,2019-03-07,365,151.18563,-33.8289
Where Castles and Art meet the Sea,Portugal,Apartment,80,Entire home/apt,1,2,4,moderate,13,5,0,1125,1,10.0,2019-02-16,Jose,1,2019-02-16,27,-8.68887,41.17544
Cheerful new renovated central apt,Turkey,Apartment,264,Entire home/apt,3,4,8,moderate,77,3,36,1125,4,9.0,2019-02-18,Aybike,1,2019-02-18,326,28.97477,41.03735
位於深水埗地鐵站的溫馨公寓,Hong Kong,Apartment,353,Private room,1,2,4,strict_14_with_grace_period,18,1,50,1125,1,7.0,2019-03-11,Aaron,28,2019-03-11,365,114.16262,22.32733
Jubilee By The Sea (Ocean Views),United States,House,325,Entire home/apt,4,6,11,strict_14_with_grace_period,45,2,25,90,8,10.0,2019-03-06,Nate,3,2019-03-06,267,-155.97349,19.61318
Whole Apt. in East Williamsburg,United States,Apartment,125,Entire home/apt,1,1,4,moderate,126,4,30,90,2,10.0,2019-03-07,Guillermo,3,2019-03-07,168,-73.93981,40.70687
Condomínio Praia Barra da Tijuca,Brazil,Condominium,351,Entire home/apt,2,5,6,strict_14_with_grace_period,18,2,0,1125,1,10.0,2019-02-11,Paula,1,2019-02-11,172,-43.32231287289854,-23.009702689174244
Tropical Jungle Oasis,United States,Condominium,125,Entire home/apt,2,3,4,moderate,65,2,0,1125,1,10.0,2019-03-06,Douglas,1,2019-03-06,65,-155.09259,19.73108
Rented Room,Brazil,Apartment,112,Private room,1,1,1,flexible,0,1,0,1125,1,0.0,2019-02-11,Jercilene,1,2019-02-11,365,-43.17933175178738,-22.941321220162784
Cozy bedroom Sagrada Familia,Spain,Apartment,20,Private room,1,2,2,flexible,1,2,0,1125,1,10.0,2019-03-08,Rapha,1,2019-03-08,0,2.17963,41.40087
Sun filled comfortable apartment,Australia,Apartment,85,Entire home/apt,1,1,2,strict_14_with_grace_period,2,1,0,1125,1,10.0,2019-03-07,Harry,1,2019-03-07,0,151.22559,-33.87604
Park Guell apartment with terrace,Spain,Apartment,85,Entire home/apt,2,3,6,strict_14_with_grace_period,51,2,0,1125,6,7.0,2019-03-08,Alexandra Y Juan,12,2019-03-08,174,2.15836,41.41582
Heroísmo IV,Portugal,Apartment,29,Entire home/apt,0,1,2,moderate,31,1,0,1125,2,9.0,2019-02-16,Apartments2Enjoy,9,2019-02-16,309,-8.59275,41.1462
Cozy House in Ortaköy,Turkey,Apartment,100,Private room,1,2,2,flexible,0,1,0,1125,1,0.0,2019-02-18,Orcun,1,2019-02-18,365,29.02519,41.05197
Luxury 1-Bdrm in Downtown Brooklyn,United States,Apartment,144,Entire home/apt,1,1,2,strict_14_with_grace_period,1,3,0,30,1,0.0,2019-03-06,Ashley,1,2019-03-06,0,-73.98102,40.69406
Apt Quarto e Sala amplo Laranjeiras,Brazil,Apartment,701,Entire home/apt,1,4,4,flexible,0,5,0,1125,1,0.0,2019-02-11,Marianna,1,2019-02-11,0,-43.17974071338275,-22.9313871086666
Ribeira Smart Flat,Portugal,Apartment,80,Entire home/apt,3,3,6,strict_14_with_grace_period,132,2,10,1124,2,10.0,2019-02-16,Mathieu,4,2019-02-16,214,-8.61602,41.14295
Charming Spacious Park Slope Studio,United States,Guest suite,135,Entire home/apt,0,0,3,moderate,115,3,25,1125,2,10.0,2019-03-07,Ildiko,1,2019-03-07,204,-73.98307,40.6651
Spacious and well located apartment,Portugal,Apartment,60,Entire home/apt,2,3,6,strict_14_with_grace_period,20,3,8,1125,3,9.0,2019-02-16,Andre,5,2019-02-16,314,-8.6114,41.16093
Grand apartment Sagrada Familia,Spain,Apartment,169,Entire home/apt,4,6,8,strict_14_with_grace_period,77,2,0,1125,10,9.0,2019-03-08,Alexandra Y Juan,12,2019-03-08,211,2.18146,41.39716
Serene luxury in Harlem,United States,Apartment,80,Private room,1,1,1,moderate,10,3,0,1125,1,10.0,2019-03-07,Erika,1,2019-03-07,339,-73.95211,40.80708
Jardim Botânico Gourmet 2 bdroom,Brazil,Apartment,395,Entire home/apt,2,5,6,strict_14_with_grace_period,9,2,35,1125,4,9.0,2019-02-11,Roberta (Beta) Gatti,18,2019-02-11,342,-43.22076222600562,-22.96448811710617
Nice Cosy Room In Taksim,Turkey,Apartment,105,Private room,1,1,2,strict_14_with_grace_period,31,3,60,1125,1,10.0,2019-02-18,Nihat,2,2019-02-18,336,28.98648,41.03376
Cozy apartment 3 mins TAIWAI Subway,Hong Kong,Apartment,801,Entire home/apt,2,2,5,flexible,0,7,0,365,1,0.0,2019-03-11,Naomi,1,2019-03-11,0,114.12074,22.40547
Panoramic Ocean View Studio in  Quiet Setting,United States,Guesthouse,120,Entire home/apt,1,1,2,strict_14_with_grace_period,114,2,15,1125,1,9.0,2019-03-06,Andrei,2,2019-03-06,323,-157.78578,21.29561
PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Portugal,Apartment,55,Entire home/apt,0,2,4,strict_14_with_grace_period,62,2,7,28,2,10.0,2019-02-16,Tim,4,2019-02-16,243,-8.61279,41.14106
"Charming Apartment,perfect Location",Brazil,Apartment,351,Entire home/apt,1,2,4,super_strict_30,110,2,60,89,2,9.0,2019-02-11,Fabio,65,2019-02-11,317,-43.175966118975914,-22.964922391816017
Colonial Mansion in Santa Teresa,Brazil,House,1999,Entire home/apt,6,6,8,flexible,0,1,0,1125,1,0.0,2019-02-11,John,3,2019-02-11,358,-43.178234025801544,-22.917475613135107
GREAT Apartment at Barra da Tijuca,Brazil,Apartment,933,Entire home/apt,3,7,6,moderate,13,4,19,100,4,10.0,2019-02-11,Luiz Henrique,2,2019-02-11,0,-43.32984175609327,-23.011124595436097
"Kadiköy, Moda, close to transports",Turkey,Apartment,137,Private room,1,1,2,flexible,0,1,0,1125,1,0.0,2019-02-18,Bertille,1,2019-02-18,0,29.02588,40.98825
Beautiful 1 Bedroom Apartment,Hong Kong,Apartment,997,Entire home/apt,1,1,2,strict_14_with_grace_period,10,2,0,1125,1,10.0,2019-03-11,Mai-Britt,1,2019-03-11,0,114.15241,22.28351
Lovely ap at Leblon beach,Brazil,Apartment,298,Entire home/apt,3,3,5,strict_14_with_grace_period,1,3,0,1125,1,10.0,2019-02-11,Sonia,2,2019-02-11,0,-43.22120070184858,-22.984162872106157
Great location in Barcelona,Spain,Apartment,31,Entire home/apt,4,4,5,strict_14_with_grace_period,2,200,0,1125,2,8.0,2019-03-08,Marina E Mickael,3,2019-03-08,358,2.19057,41.41254
CASA PARA AS OLIMPIADAS 2016,Brazil,House,3726,Entire home/apt,4,6,10,strict_14_with_grace_period,0,1,0,1125,1,0.0,2019-02-11,Priscila,1,2019-02-11,0,-43.43656065280531,-23.01216083013239
Relaxing and Roomy in Crown Heights,United States,Apartment,50,Private room,1,1,2,moderate,46,2,10,45,1,10.0,2019-03-07,Rachael,2,2019-03-07,64,-73.95667,40.67414
Nani La 'Ao (A Beautiful Day) Upstairs Suite,United States,House,72,Entire home/apt,1,1,2,moderate,18,3,10,25,2,9.0,2019-03-06,Sherri,2,2019-03-06,352,-155.02503,19.56081
"Asia House, Garden Room, Princevile",United States,Guest suite,139,Private room,1,1,2,strict_14_with_grace_period,167,3,35,21,2,9.0,2019-03-06,Coral,2,2019-03-06,276,-159.48653,22.22739
"Cozy, dreamy Mile End apartment",Canada,Apartment,30,Private room,1,1,2,strict_14_with_grace_period,0,2,15,1125,1,0.0,2019-03-11,Uma,1,2019-03-11,0,-73.60137,45.52517
Triple room Barcelona Guell park,Spain,Condominium,40,Private room,1,3,3,strict_14_with_grace_period,191,2,8,1125,4,9.0,2019-03-08,Núria,2,2019-03-08,289,2.15533,41.40686
Renovated Classic Design Studio with Sun Room,Portugal,Apartment,58,Entire home/apt,1,1,3,strict_14_with_grace_period,32,3,20,40,2,10.0,2019-02-16,Maribel Monzo,4,2019-02-16,359,-8.60106,41.14684
Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,Brazil,Apartment,451,Entire home/apt,2,3,5,moderate,34,3,100,1120,4,9.0,2019-02-11,Aline,5,2019-02-11,329,-43.343027190397,-23.00878356989572
Designer's Historical Apartment,Turkey,Apartment,385,Entire home/apt,1,1,2,strict_14_with_grace_period,17,2,0,1125,2,9.0,2019-02-18,Pia,2,2019-02-18,365,28.97994,41.03406
"Nişantaşı, safe, quality area.Very close to metro.",Turkey,Apartment,417,Entire home/apt,1,2,4,strict_14_with_grace_period,6,5,0,1125,1,9.0,2019-02-18,Enis,7,2019-02-18,297,28.99363,41.05261
Bright Inner West Terrace Value+,Australia,House,65,Private room,1,1,2,moderate,84,1,15,1125,1,10.0,2019-03-07,Natasa,3,2019-03-07,232,151.15851,-33.89931
DOUBLE ROOM for 1 or 2 ppl,Spain,Apartment,15,Private room,1,1,2,flexible,0,1,0,1125,1,0.0,2019-03-08,Aleksandra,1,2019-03-08,0,2.17519,41.41035
City View Apartment,Turkey,Serviced apartment,211,Entire home/apt,1,2,3,moderate,1,1,89,1125,1,10.0,2019-02-18,Orhan,6,2019-02-18,343,28.98789,41.03445
BALAT,Turkey,House,685,Private room,1,1,3,flexible,0,1,0,1125,1,0.0,2019-02-18,Hanife,1,2019-02-18,365,28.94457,41.03301
Trendy apartment in BCN centre,Spain,Apartment,89,Entire home/apt,2,2,4,moderate,104,2,10,1125,2,9.0,2019-03-08,Gabriela & Miguel,3,2019-03-08,280,2.14596,41.38475
HUGE Bedroom in Lower East Side,United States,Apartment,90,Private room,1,1,1,flexible,0,7,40,1125,1,0.0,2019-03-06,Ryan,1,2019-03-06,0,-73.98319,40.71823
Room in the very ♥ of BCN - Unbeatable location,Spain,Condominium,40,Private room,1,2,2,strict_14_with_grace_period,122,2,0,1125,1,8.0,2019-03-08,Flo,5,2019-03-08,253,2.17778,41.38049
Aquilla House - Ocean Views Newport,Australia,House,500,Entire home/apt,4,5,8,strict_14_with_grace_period,3,7,0,60,1,7.0,2019-03-07,Susannah,2,2019-03-07,363,151.31572,-33.65212
Quarto espaçoso e arejado no Rio.,Brazil,Hostel,187,Private room,1,1,2,flexible,1,3,0,7,1,0.0,2019-02-11,Mariana,1,2019-02-11,180,-43.189916447135005,-22.976504206582874
Comfort Room in Istanbul,Turkey,Apartment,53,Private room,1,1,1,flexible,0,1,0,1125,1,0.0,2019-02-18,Erhan,1,2019-02-18,365,29.08565,41.01499
傳統香港房间 - 干净整洁交通便利的二人房间,Hong Kong,Apartment,2748,Private room,1,1,2,flexible,0,1,0,1125,1,0.0,2019-03-11,Chuiying,6,2019-03-11,360,114.16558,22.308
well lit East Williamsburg apt.,United States,Apartment,60,Private room,1,1,2,flexible,0,1,0,1125,1,0.0,2019-03-06,Liat,1,2019-03-06,0,-73.94384,40.70528
Quarto de Casal em Ipanema,Brazil,Apartment,149,Private room,1,1,2,strict_14_with_grace_period,2,2,80,1125,1,9.0,2019-02-11,Gabriela,2,2019-02-11,0,-43.19841687233581,-22.98376501071312
